program_id	GO_BP	synGO	LoF
125	GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (6.03e-11) | GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (3.16e-10) | GOBP_MYOBLAST_FUSION (7.14e-09) | GOBP_CYTOPLASMIC_TRANSLATION (1.51e-08) | GOBP_SYNCYTIUM_FORMATION (1.51e-08)	postsynaptic ribosome (8.72e-10) | presynaptic ribosome (8.72e-10) | translation at presynapse (GO:0140236) (8.72e-10) | translation at postsynapse (GO:0140242) (8.72e-10) | synapse (GO:0045202) (8.62e-04)	ANK2 (1.51); GRIN2B (1.47); KMT2A (1.47); MEIS2 (1.50)
126	 ()	 ()	NIPBL (6.60)
127	GOBP_RESPONSE_TO_INCREASED_OXYGEN_LEVELS (1.64e-01)	synaptic vesicle proton loading (GO:0097401) (1.17e-01) | neuronal dense core vesicle (GO:0098992) (1.17e-01) | postsynaptic ribosome (1.17e-01) | presynaptic ribosome (1.17e-01) | translation at presynapse (GO:0140236) (1.17e-01)	DSCAM (1.92); TAOK1 (1.58); TLK2 (2.11)
128	 ()	anchored component of synaptic vesicle membrane (GO:0098993) (7.62e-02) | postsynaptic proteasome (7.62e-02) | presynaptic proteasome (7.62e-02) | protein catabolic process at presynapse (GO:0140247) (7.62e-02) | protein catabolic process at postsynapse (GO:0140249) (7.62e-02)	SP4 (6.78)
129	GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS (6.81e-27) | GOBP_OXIDATIVE_PHOSPHORYLATION (7.53e-27) | GOBP_ATP_BIOSYNTHETIC_PROCESS (6.11e-23) | GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS (2.41e-21) | GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT (3.05e-20)	postsynaptic proteasome (3.10e-06) | presynaptic proteasome (3.10e-06) | protein catabolic process at presynapse (GO:0140247) (5.30e-06) | protein catabolic process at postsynapse (GO:0140249) (7.75e-06) | postsynaptic ribosome (2.66e-03)	PHF21A (2.14); VEZF1 (1.81)
130	 ()	 ()	POGZ (1.70); RFX3 (4.37)
131	GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY (7.55e-03) | GOBP_POSITIVE_REGULATION_OF_PEPTIDE_SECRETION (1.05e-02) | GOBP_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_TASTE (1.05e-02) | GOBP_CALCIUM_ION_TRANSPORT (1.90e-02) | GOBP_REGULATION_OF_PEPTIDE_TRANSPORT (2.03e-02)	 ()	RFX3 (8.25)
132	 ()	 ()	KCNMA1 (1.71); SHANK3 (4.17)
134	GOBP_OXIDATIVE_PHOSPHORYLATION (2.50e-21) | GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS (1.75e-19) | GOBP_PROTON_TRANSMEMBRANE_TRANSPORT (9.75e-19) | GOBP_CYTOPLASMIC_TRANSLATION (1.20e-16) | GOBP_ATP_BIOSYNTHETIC_PROCESS (1.82e-16)	postsynaptic ribosome (2.56e-17) | presynaptic ribosome (2.56e-17) | translation at presynapse (GO:0140236) (2.56e-17) | translation at postsynapse (GO:0140242) (2.68e-17) | synapse (GO:0045202) (8.81e-10)	TLK2 (-1.49)
136	 ()	postsynaptic density, intracellular component (GO:0099092) (8.72e-02) | extracellular matrix of synaptic cleft (GO:0098965) (1.66e-01) | synaptic vesicle budding from endosome (GO:0016182) (1.66e-01) | synaptic vesicle endocytosis (GO:0048488) (1.66e-01) | regulation of postsynaptic neurotransmitter receptor diffusion trapping (GO:0150054) (1.66e-01)	GRIN2A (4.84)
137	 ()	calcium:cation antiporter activity involved in regulation of postsynaptic cytosolic calcium ion levels (GO:1905060) (8.36e-02) | extracellular matrix of synaptic cleft (GO:0098965) (8.36e-02) | regulation of postsynaptic neurotransmitter receptor diffusion trapping (GO:0150054) (8.36e-02) | anterograde dendritic transport of neurotransmitter receptor complex (GO:0098971) (8.36e-02) | synaptic vesicle cycle (GO:0099504) (8.36e-02)	HCN4 (5.01)
138	 ()	regulation of presynapse assembly (GO:1905606) (2.83e-02) | retrograde trans-synaptic signaling by trans-synaptic protein complex (GO:0098942) (5.99e-02) | regulation of calcium-dependent activation of synaptic vesicle fusion (GO:0150037) (5.99e-02) | regulation of synaptic membrane adhesion (GO:0099179) (5.99e-02) | structural constituent of active zone (GO:0098882) (5.99e-02)	GABRA1 (2.59)
139	 ()	presynaptic modulation of chemical synaptic transmission (GO:0099171) (1.42e-02) | extrinsic component of presynaptic membrane (GO:0098888) (3.70e-02) | regulation of postsynaptic membrane potential (GO:0060078) (3.99e-02) | extrinsic component of postsynaptic membrane (GO:0098890) (3.99e-02) | integral component of synaptic vesicle membrane (GO:0030285) (1.32e-01)	RORB (5.01)
140	 ()	extrinsic component of postsynaptic membrane (GO:0098890) (8.77e-03) | regulation of protein catabolic process at postsynapse, modulating synaptic transmission (GO:0099576) (1.03e-01) | regulation of postsynaptic membrane potential (GO:0060078) (1.03e-01) | regulation of modification of postsynaptic actin cytoskeleton (GO:1905274) (1.03e-01) | voltage-gated ion channel activity involved in regulation of presynaptic membrane potential (GO:0099508) (1.03e-01)	ASH1L (5.39)
